Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ghana,GHA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.147064656,1.934451707,2.047265058,2.066918971,1.750600616,1.788139962,1.687654562,1.773199825,1.71743459,1.656526364,1.620994725,2.094689817,2.01196278,1.936409282,1.829518975,1.87009856,2.02943487,1.631982443,1.826677132,1.740477058,1.854319665,1.831117731,,
Ghana,GHA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,2000,,,,680,
Ghana,GHA,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,33.33333206,,43.28358078,,41.79104614,47.76119232,45.67307663,49.03845978,53.84615326,56.25,55.28845978,56.87203979,57.34597015,56.33802795,56.80751038,56.33802795,57.1428566,58.12807846,58.12807846,59.11330032,57.76699066,58.93719864,57.00482941,56.0386467,55.07246399,55.39215851,
Ghana,GHA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,1.842374616,1.833333333,1.211689237,0.694042799,1.107418878,0.391772772,0.347222222,0.439403292,3.448275862,4.081632653,5.095541401,3.016287955,2.735978112,3.687943262,4.588394062,5.576679341,6.236786469,4.910096819,7.946026987,7.941176471,7.925072046,8.79501385,9.61158657,66.448292,67.01189952,68.30826543,68.15809419,66.48106904,67.68277247,68.15605689,77.20946105,69.3009555,56.25831876,58.93686618,50.46188618,46.10787356,41.34407334,28.57396824,36.25961531,45.35247448,13.61633474,13.51767412,13.13088381,12.48155304,14.44061177,1.449475749,6.218257064,10.02573067,11.97904722,13.06783028
Ghana,GHA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,84956989,104348400,122000559.2,98039725.27,90300068,102100000,115200000,99309224,34800000,39200000,31400000,49730000,73100000,70500000,74100000,78900000,94600000,144600000,133400000,136000000,138800000,144400000,151900000,427400000,453800000,489738683.7,515358600,538800000,612305000,683725000,1082889310,1242883296,1614373796,1558769734,1522020000,1343610000,1678584000,3200185541,2353384041,1977405534,6013083944,6259804258,6470090000,7563161389,9869633396,7588950700,9122628642,8281057283,8735991110,9266029432
Ghana,GHA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,293100000,305700000,297500000,265000000,285400000,258100000,214200000,260600000,301900000,304132000,384156000,314689000,369474000,550241000,642961000,690182000,709641000,872244000,770771000,781603000,970062000,955155000,735382000,619532000,355856000,406501000,754183605,824972224.6,749947347.6,887838268.9,1115784373,611764000,1164829000,1067371352,1407827989,1359221501,1428310154,1458497024,1654602968,1646972889,1562656289,2183852906,2278813947,2315284418,1656763191,3056334670,3566458639,3533342452,3809525960,5070100170,5232416758,18145922178,15760752734,12642191001,15502860702,13750592026,12035330167,14451387694,17077592131,16703226177,14831458504,14790156729,17485794686,16782124237,
Ghana,GHA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.238826339,0.032711809,0.302521008,0.226415094,0.595655221,0.581170089,0.793650794,0.230237913,0.331235508,0.442242184,0.633857079,0.375926709,0.152649442,0.300413819,0.676401835,1.037262635,0.398370444,0.690288497,0.556066588,0.199333933,0.552026571,0.44453518,0.938695807,0.419187387,0.518187132,0.283886141,0.339783746,0.17706344,1.278189356,1.278189356,0.950631164,0.396067765,0.215653972,0.298436258,0.233250908,0.338091686,0.585355032,0.962859352,0.59544656,0.476897579,0.27267295,0.335026456,0.347060628,0.304284905,0.555186767,0.378696977,0.260759059,0.482571255,0.70870907,0.340115805,0.363315594,0.172851171,0.21133037,0.429427921,0.948767475,1.026323985,0.624686967,0.701333271,0.891000733,0.324827117,0.309162818,0.401587577,0.203637488,0.192051558,
Ghana,GHA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,0.921187308,0.130847236,1.109243697,0.79245283,1.681850035,2.983339791,3.734827264,1.074443592,1.623053991,1.934028645,2.09602349,2.511050593,2.823202715,3.037578079,1.754227706,4.115725997,2.600892564,2.857457317,3.25012228,3.003059098,4.856699881,2.714009768,4.707893313,3.065539795,4.396160245,7.434914059,6.394203785,4.24325884,4.854003349,4.854003349,4.302024001,2.216050634,0.726630261,8.254339785,9.388390826,8.188116335,10.38770867,10.18906224,7.467996282,12.21907976,6.033292328,14.8371443,10.62197045,3.278232446,8.441007306,7.342143424,7.951741257,8.778296987,14.60817243,6.027054254,4.723012815,8.10582027,9.495767038,10.64847236,17.86865264,31.31434411,31.35803564,43.15373711,43.92312682,35.58935665,28.07319877,25.93226999,25.83792877,22.75976707,
Ghana,GHA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,13.82032781,8.305722566,10.89451594,12.03405892,14.96114437,13.78014788,18.29462756,22.14788282,12.86904691,15.01475521,17.81090723,11.130419,8.561637262,8.167080319,16.84322045,12.44684125,15.10938465,11.1621374,16.65281834,29.82263697,25.61430339,10.84174059,2.962608425,,,,,,,,9.88645845,,,,6.100076928,11.3563809,6.868372609,7.690666937,11.91586318,10.86360657,,2.46857072,1.497373934,3.604068536,2.161021362,2.872340233,3.513683181,1.749048897,4.014894505,1.365136387,1.472632851,2.068655881,1.736054289,1.531148506,1.903823883,1.945033307,2.795898444,3.041297058,,2.902779516,1.875228222,3.797899723,
Ghana,GHA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0,0.066003065,1.009922984,1.029941347,0.561036275,0.683041385,0.546169428,0.687928941,0.153681322,0.804735995,0.807805373,0.682619163,1.93374462,2.790509831,2.151578924,1.608448858,0.649724367,0.951191526,0.391570153,12.30616178,9.774892435,20.84560161,3.902458201,,,,,,,,5.395798603,,,,3.357768401,3.066365007,3.267681968,4.41563742,4.895274745,7.981841407,,0.048180332,2.258914889,2.420266672,0.449413904,0.7587427,1.329051434,1.753290818,0.11429416,40.42193965,28.9638836,24.7444175,29.74215541,21.70196218,12.98232972,25.34560872,30.60561388,31.7022618,,26.6641837,31.00146536,24.52981662,
Ghana,GHA,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,73.39102929,105.1649629,149.5389084,146.4826209,20.53147288,21.4092452,17.04057015,20.22373072,23.14050091,28.40803173,23.34836953,15.68804116,33.14675309,27.4784528,37.34586119,39.57673402,37.64065549,36.8828096,39.10179868,42.88653775,42.91225923,42.32820928,36.31317829,44.24059002,46.42105225,39.4,43.8,42.9,44.4,48.1,62.7,89.9,100.2,106.4,103.8,100,109,139,138.5,146.4,134.1,111.7,115.7,108.3,
Ghana,GHA,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,73.8440367,74.26740709,68.07481752,72.40242424,64.99569277,57.82749326,60.79961923,56.82490752,69.97809419,69.00547445,67.31868132,59.82440206,61.12558624,59.29549902,55.74656189,55.14184397,60.11167141,60.73059361,59.54819277,60.65830721,61.31057402,63.82186747,64.14604748,56.56595273,57.23049198,52.7993208,52.37889398,49.02119335,42.92582137,44.45993042,50.95041727,51.29620127,47.18794052,54.21356746,37.79334097,46.44875582,58.80520928,50.01048109,43.34828486,42.08883768,28.67689971,27.90908323,24.72714834,23.30981442,21.49658942,19.72136903,26.4148986,26.88238792,21.15075013,22.57130996
Ghana,GHA,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,5.558912387,5.903155604,5.990338164,5.964698722,8.0973009,3.903345725,4.103879449,2.598752599,2.840112202,4.152031763,3.346738876,4.296360243,6.213539597,7.522330183,11.33029939,9.714878007,13.09983002,14.41744856,13.0313287,15.53828804,23.34333853,32.11886299,29.52451318,14.73639181,41.09382931,28.06229679,5.632372294,14.44756093,14.76099073,14.76099073,23.0832761,8.746069105,17.10178823,21.12083919,22.74595025,22.53588346,20.75221084,22.83836696,26.15932635,24.09833292,22.54102969,22.90967996,22.45322663,24.95437036,8.909036326,20.14862465,19.54994488,17.58633418,19.81208092,10.35460157,7.674073779,13.27056748,10.70025543,9.889447925,10.66162561,9.58146174,8.186108727,7.572101206,8.761371244,8.888145565,8.726815533,6.609117879,7.47437272,7.007433471,
Ghana,GHA,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,0.906344411,1.387377584,1.93236715,1.339013999,0.599800067,0.955921402,1.60307791,2.113652114,1.507713885,1.125507902,0.944525252,0.67742386,0.744525602,1.702792105,1.224966577,0.930432177,0.923551579,2.088141464,0.826671522,0.806467568,0.966732413,1.738611897,1.190467733,2.378654957,1.913929374,1.258330489,0.429972245,0.984340823,0.944278292,0.944278292,0.673777934,0.472103004,1.786500567,1.442774989,0.997847797,1.322736753,1.83046597,1.75064238,2.16433946,2.349762245,1.81725964,2.13868205,2.662648295,3.20105514,3.866407988,3.519565375,3.991834974,4.470455056,4.450061026,4.284754988,4.129931022,4.722225593,4.486340271,4.88407669,6.415867693,6.780366523,5.356679802,5.12026108,6.014162038,5.920522264,5.101113928,6.153026883,5.627034297,6.671036478,
